Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
5,1,1Ah1,0,8,13.5,14,64,78,22,115,6.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5x225c,Rd,203800,324490,1962
5,3,1Bw,30,60,1.5,13,72,85,15,110,5.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5x225c,Rd,203800,324490,1962
5,5,1Cg,80,100,0.9,16,70,86,15,110,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,R5x225c,Rd,203800,324490,1962
19,1,1Ap,0,20,2.9,27,46,73,27,90,4.7,212,-99,-99,-99,-99,-99,2,0.2,-99,BL,134-2,2,128B,,,,136,39,m,mK4p315c,pKRn,192290,307770,1986
19,2,1Cg1,20,30,1,27,29,56,44,105,4.9,206,140,4,1,23,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK4p315c,pKRn,192290,307770,1986
19,3,1Cg2,30,50,0.4,27,34,62,39,85,4.5,211,147,5,1,26,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK4p315c,pKRn,192290,307770,1986
19,4,1Cg3,70,85,0,27,28,56,44,85,4.4,206,133,6,1,35,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK4p315c,pKRn,192290,307770,1986
20,1,1Apg,5,25,4.6,13,80,93,7,-99,5.4,111,-99,-99,-99,-99,-99,3.1,0.2,-99,BL,134-2,2,128B,,,,136,39,m,3c82,BLn,196880,314000,1986
20,2,1Eg,25,45,0,19,78,97,3,-99,5.2,82,60,1,1,5,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,3c82,BLn,196880,314000,1986
20,3,1Btg,45,100,0,22,74,96,4,-99,5.1,120,91,2,1,11,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,3c82,BLn,196880,314000,1986
20,4,1Cg1,100,140,0,21,75,96,4,-99,5.6,135,104,2,1,17,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,3c82,BLn,196880,314000,1986
20,5,1Cg2,140,160,0,21,76,97,3,-99,7.6,127,106,2,1,14,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,3c82,BLn,196880,314000,1986
21,1,1Ap,0,28,2.1,25,52,77,23,185,7.3,177,-99,-99,-99,-99,-99,1.6,0.1,-99,BL,134-2,2,128B,,,,136,39,m,K5x234ck11,KRd,196670,318420,1986
21,2,1Bw,30,80,0.4,50,37,88,12,135,6.8,259,243,6,2,10,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,K5x234ck11,KRd,196670,318420,1986
21,3,1Cw,80,110,0,72,20,92,8,-99,6.6,411,387,9,2,12,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,K5x234ck11,KRd,196670,318420,1986
21,4,2Cw,115,150,0,60,25,85,15,135,6.5,325,292,8,1,13,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,K5x234ck11,KRd,196670,318420,1986
22,1,1Ap,0,23,2.2,13,31,44,56,120,6.8,98,-99,-99,-99,-99,-99,1.3,0.1,-99,BL,134-2,2,128B,,,,136,39,m,k5v423,Zb,195360,317340,1986
22,2,1Bwg1,35,50,0.2,16,4,20,80,115,6,60,44,4,1,6,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,k5v423,Zb,195360,317340,1986
22,3,1Bwg2,60,75,0.1,14,3,17,83,115,4.7,51,26,3,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,k5v423,Zb,195360,317340,1986
22,4,1Cg,90,110,0.2,9,3,12,88,115,5.4,26,20,1,0,2,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,k5v423,Zb,195360,317340,1986
34,1,1Apg,10,15,4.7,15,76,91,9,-99,6,165,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,4p82d,pRn,190760,321830,1983
34,2,1Cg1,40,45,1.7,14,76,91,9,-99,6,121,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,4p82d,pRn,190760,321830,1983
34,3,1Cg2,70,75,1.1,18,78,96,4,-99,5.9,136,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,4p82d,pRn,190760,321830,1983
50,1,1Ap,0,25,6.6,13,55,68,32,-99,7.1,183,-99,-99,-99,-99,-99,3.9,0.3,-99,BL,134-2,2,128B,,,,136,39,m,mK4x225c,pKRd,181520,320125,1986
50,2,2Cu1,25,55,1.4,10,45,55,45,-99,7,60,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,mK4x225c,pKRd,181520,320125,1986
50,3,2Cu2,55,80,0.7,11,42,53,47,-99,6.7,44,40,1,1,2,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK4x225c,pKRd,181520,320125,1986
50,4,2Cu3,80,100,0.6,16,15,31,69,-99,6.3,73,53,2,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK4x225c,pKRd,181520,320125,1986
72,1,1Ap,0,30,2,14,80,94,7,-99,5,87,-99,-99,-99,-99,-99,1.6,0.1,-99,BL,134-2,2,128B,,,,136,39,m,5x82d,Rd,184960,323720,1986
72,2,1Cu1,35,60,0.4,16,79,95,5,-99,4.8,78,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,5x82d,Rd,184960,323720,1986
72,4,1Cu3,80,100,0.4,16,79,96,5,-99,5,86,61,1,0,4,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5x82d,Rd,184960,323720,1986
72,5,1Cu4,150,180,0.3,18,78,96,4,-99,5.3,74,53,1,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5x82d,Rd,184960,323720,1986
72,6,2Btgb,190,230,0.2,18,77,95,5,-99,5.3,89,66,2,0,3,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5x82d,Rd,184960,323720,1986
75,1,1Ap,0,20,3.6,28,34,62,38,100,6.6,221,-99,-99,-99,-99,-99,2.3,0.2,-99,BL,134-2,2,128B,,,,136,39,m,mK5x314c,KRd,189870,318540,1986
75,2,1Cu1,20,55,0,47,19,66,34,100,6.1,316,281,7,2,12,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,3,1Cu2,55,90,0,53,22,75,25,95,6.3,324,313,7,2,8,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,4,1Cu3,140,170,0,61,26,87,13,90,6.2,347,335,10,1,13,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
75,5,1Cu4,170,200,0,72,20,91,9,-99,6.2,375,341,11,2,16,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,mK5x314c,KRd,189870,318540,1986
84,1,1Ap,0,30,2.1,14,75,89,11,115,5.5,-99,-99,-99,-99,-99,-99,-99,-99,1.4,BL,134-2,2,,,,,,,m,3i82,BLd,179540,318630,1985
84,2,1Eu,30,60,0.5,17,74,91,9,-99,5.9,88,74,2,0,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,3,1Bt1,60,80,0.1,22,71,93,7,-99,5.9,113,96,2,1,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,4,1Bt2,80,100,0.1,20,73,93,7,-99,5.6,103,84,2,1,6,-99,-99,-99,1.6,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
84,5,1Bt3,100,120,0.1,19,72,91,9,-99,5.5,100,83,2,0,6,-99,-99,-99,1.5,BL,134-2,2,128B,130B,130A,,,,m,3i82,BLd,179540,318630,1985
88,1,1Ap,5,25,2.5,13,78,92,9,-99,5.1,-99,-99,-99,-99,-99,-99,-99,0.2,1.623,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
88,2,1Bt1,35,50,0.2,13,75,88,7,-99,5.3,-99,-99,-99,-99,-99,-99,-99,0.1,1.48,BL,134-2,2,,,,,,39,m,3d82,BLb,182525,327050,1970
