Profile_id,X,Y,Year,Land cover
5,203800,324490,1962,Bos
19,192290,307770,1986,Grasland
20,196880,314000,1986,Grasland
21,196670,318420,1986,Akkerbouw
22,195360,317340,1986,Akkerbouw
34,190760,321830,1983,Grasland
50,181520,320125,1986,Grasland
72,184960,323720,1986,Akkerbouw
75,189870,318540,1986,Grasland
84,179540,318630,1985,Akkerbouw
88,182525,327050,1970,Akkerbouw
98,193950,328775,1969,Akkerbouw
104,188800,343500,1989,Bos
112,193610,343380,1963,Akkerbouw
141,201010,372070,1964,Bos
142,204260,367380,1964,Grasland
144,210180,372175,1964,Bos
151,192625,350275,1967,Bos
162,185600,355290,1966,Akkerbouw
181,194780,363200,1965,Bos
198,170070,366240,1968,Grasland
236,61500,362680,1962,Akkerbouw
241,61210,374300,1972,Akkerbouw
255,54800,361280,1961,Akkerbouw
277,52100,363540,1961,Akkerbouw
294,48910,366410,1967,Akkerbouw
305,211425,381350,1970,Akkerbouw
310,16150,366380,1963,Akkerbouw
311,20645,372865,1959,Grasland
312,22520,363950,1960,Akkerbouw
351,183820,388960,1969,Grasland
364,31150,395800,1983,Akkerbouw
372,29400,376290,1993,Akkerbouw
379,30200,391065,1984,Akkerbouw
403,27450,388150,1984,Akkerbouw
419,197670,402810,1972,Grasland
422,200580,405430,1971,Akkerbouw
425,27020,388130,1971,Akkerbouw
429,25810,393050,1984,Akkerbouw
438,180800,408260,1972,Akkerbouw
440,184025,404285,1972,Grasland
441,186315,405910,1972,Akkerbouw
445,190770,401540,1972,Akkerbouw
454,187900,415770,1972,Grasland
467,177855,416610,1971,Akkerbouw
476,173970,405800,1969,Akkerbouw
488,177470,395825,1977,Grasland
490,170275,391600,1977,Akkerbouw
514,161775,397000,1977,Grasland
521,162500,388800,1974,Grasland
527,157220,386220,1974,Grasland
544,83300,394300,1976,Heide en natuur
557,77670,378860,1965,Akkerbouw
565,67030,394810,1982,Akkerbouw
568,79075,397970,1982,Akkerbouw
573,69445,379690,1959,Akkerbouw
574,50950,382450,1971,Akkerbouw
582,60540,390270,1981,Grasland
596,54940,386900,1960,Akkerbouw
602,52930,392260,1969,Fruitteelt
609,45785,378740,1956,Akkerbouw
625,49205,390900,1959,Akkerbouw
635,39775,382215,1958,Akkerbouw
636,38730,387300,1961,Grasland
638,38015,385025,1958,Akkerbouw
663,145990,397320,1988,Heide en natuur
