x,y,fc,por
215.010,230.000,0.211,0.438
330.010,310.000,0.251,0.457
410.010,330.000,0.281,0.419
470.010,340.000,0.262,0.430
545.010,365.000,0.242,0.468
620.010,430.000,0.318,0.434
680.010,470.000,0.267,0.460
765.010,450.000,0.280,0.483
795.010,760.000,0.344,0.491
810.010,510.000,0.305,0.438
890.010,725.000,0.349,0.509
910.010,590.000,0.387,0.525
940.010,170.000,0.169,0.509
955.010,620.000,0.390,0.491
990.010,690.000,0.265,0.453
1035.010,195.000,0.289,0.509
1060.010,755.000,0.346,0.532
1085.010,655.000,0.265,0.630
1115.010,255.000,0.312,0.509
1140.010,830.000,0.391,0.566
1170.010,625.000,0.373,0.491
1175.010,335.000,0.334,0.634
1210.010,910.000,0.223,0.630
1235.010,410.000,0.252,0.645
1270.010,970.000,0.287,0.464
1270.010,590.000,0.216,0.509
1295.010,485.000,0.305,0.479
1350.010,1030.000,0.273,0.479
1365.010,555.000,0.264,0.430
1420.010,1100.000,0.294,0.464
1430.010,625.000,0.348,0.509
1500.010,1170.000,0.243,0.457
1505.010,690.000,0.248,0.585
1560.010,1215.000,0.297,0.457
1575.010,1610.000,0.306,0.434
1590.010,750.000,0.424,0.536
1600.010,1280.000,0.326,0.464
1610.010,1515.000,0.353,0.479
1640.010,1420.000,0.267,0.438
1655.010,810.000,0.408,0.566
1670.010,1320.000,0.234,0.487
1700.010,1230.000,0.246,0.453
1730.010,890.000,0.354,0.494
1735.010,1135.000,0.356,0.434
1735.010,1325.000,0.227,0.483
1765.010,1040.000,0.246,0.653
1795.010,955.000,0.424,0.525
1810.010,1350.000,0.219,0.472
1865.010,1440.000,0.323,0.453
1885.010,1010.000,0.426,0.513
1950.010,1505.000,0.281,0.472
2030.010,1545.000,0.329,0.475
2140.010,1620.000,0.273,0.453
2190.010,1715.000,0.197,0.494
2215.010,1795.000,0.225,0.517
2260.010,1850.000,0.250,0.479
2340.010,1885.000,0.258,0.468
2425.010,1940.000,0.225,0.506
2500.010,2050.000,0.290,0.506
2555.010,2115.000,0.308,0.509
2640.010,2180.000,0.360,0.509
2705.010,2255.000,0.276,0.532
